buyer_id,name,email,phone_number,created_at
49,Edison Haryanti,edisonharyanti@gmail.com,+62-77-828-7926,2022-05-21 22:51:14
50,Mursita Utama,mursitautama@hotmail.com,+62 (288) 323 3037,2023-01-12 14:11:50
51,Rahmat Nasyidah,rahmatnasyidah@hotmail.com,081 796 4517,2021-10-03 23:01:37
52,Siti Anggraini,sitianggraini@hotmail.com,+62-746-116-0367,2020-01-15 03:01:25
53,Nasrullah Nasyidah,nasrullahnasyidah@hotmail.com,+62-412-143-2948,2020-08-22 17:42:17
54,Yahya Rahayu,yahyarahayu@hotmail.com,+62 (0059) 227-7058,2021-07-05 14:13:35
55,Qori Napitupulu,qorinapitupulu@yahoo.com,+62 (35) 916-2890,2021-04-30 22:30:15
56,Balapati Hasanah,balapatihasanah@yahoo.com,+62 (514) 062-3405,2020-06-23 02:28:02
57,Indra Suryono,indrasuryono@gmail.com,(0027) 322-7930,2022-11-13 08:53:29
58,Pranata Usamah,pranatausamah@hotmail.com,+62-96-427-9306,2022-11-25 22:26:24
59,Yance Prakasa,yanceprakasa@hotmail.com,(014) 552 5386,2022-12-19 04:10:02
60,Padmi Thamrin,padmithamrin@hotmail.com,+62 (236) 185-3446,2023-01-18 06:34:51
61,Enteng Nashiruddin,entengnashiruddin@gmail.com,+62-061-956-1561,2020-04-25 08:21:46
62,Viman Halimah,vimanhalimah@gmail.com,+62 (976) 624 1895,2021-09-18 01:04:07
63,Makara Nugroho,makaranugroho@gmail.com,+62-0746-819-8011,2021-02-27 07:50:44
64,Novi Suryono,novisuryono@gmail.com,084 533 3939,2022-01-25 07:58:31
65,Salman Kusumo,salmankusumo@yahoo.com,+62 (0109) 331-5394,2021-09-07 13:38:12
66,Carla Permadi,carlapermadi@gmail.com,0845829096,2021-03-31 09:55:47
67,Ilsa Gunarto,ilsagunarto@gmail.com,+62 (0832) 709-8862,2020-09-24 21:54:02
68,Martana Wijayanti,martanawijayanti@yahoo.com,086 710 9653,2023-01-06 06:36:07
69,Rini Kuswoyo,rinikuswoyo@gmail.com,+62 (067) 938-3665,2021-04-17 06:49:49
70,Harto Laksmiwati,hartolaksmiwati@yahoo.com,+62 (05) 100 9575,2021-12-08 06:10:56
71,Najwa Januar,najwajanuar@gmail.com,+62 (39) 127 9396,2021-11-11 07:00:08
72,Fathonah Widodo,fathonahwidodo@yahoo.com,(084) 074-7676,2022-08-13 01:55:31
73,Silvia Hasanah,silviahasanah@hotmail.com,(080) 387 9295,2020-03-26 01:01:21
74,Saadat Sudiati,saadatsudiati@yahoo.com,+62 (0932) 579 0584,2022-06-29 04:14:49
75,Liman Pudjiastuti,limanpudjiastuti@yahoo.com,+62 (03) 834-7929,2022-11-02 12:49:02
76,Jefri Kusumo,jefrikusumo@gmail.com,+62 (0736) 475 0401,2022-08-18 10:14:32
77,Panca Prasetyo,pancaprasetyo@gmail.com,(0100) 068-8283,2023-02-18 14:48:37
78,Perkasa Pangestu,perkasapangestu@hotmail.com,0895793011,2023-03-21 19:34:20
79,Faizah Pratama,faizahpratama@yahoo.com,089 353 4470,2021-04-28 17:35:53
80,Heryanto Hidayanto,heryantohidayanto@gmail.com,+62-038-745-2136,2022-12-09 14:32:25
81,Galang Utama,galangutama@hotmail.com,(049) 396 3028,2020-11-01 21:00:50
82,Gangsa Mandala,gangsamandala@hotmail.com,(0031) 739-3909,2022-03-08 12:40:59
83,Prasetyo Ramadan,prasetyoramadan@hotmail.com,+62 (011) 253-4112,2021-05-17 23:10:23
84,Karja Simbolon,karjasimbolon@hotmail.com,+62 (46) 099-0569,2021-12-09 12:18:52
85,Dono Prasetyo,donoprasetyo@gmail.com,+62 (0438) 570 8321,2021-07-08 02:47:41
86,Cahyadi Utami,cahyadiutami@gmail.com,+62 (0087) 181-4803,2020-07-11 06:23:50
87,Darman Najmudin,darmannajmudin@hotmail.com,+62 (0286) 394-6448,2023-01-15 19:45:13
88,Surya Novitasari,suryanovitasari@hotmail.com,+62 (0814) 567 3806,2020-11-04 12:22:58
89,Radit Waskita,raditwaskita@hotmail.com,(033) 218-1101,2021-04-19 18:28:26
90,Dewi Kusumo,dewikusumo@hotmail.com,+62 (35) 303-7754,2021-04-24 16:17:03
91,Makuta Anggriawan,makutaanggriawan@yahoo.com,(0015) 913 7478,2022-10-29 23:58:27
92,Putu Hartati,putuhartati@gmail.com,+62-091-781-8096,2022-05-30 09:53:06
93,Lasmanto Permadi,lasmantopermadi@yahoo.com,+62-755-737-1579,2022-12-18 20:18:25
94,Tri Novitasari,trinovitasari@yahoo.com,+62 (042) 030-4855,2021-08-18 13:21:29
95,Lukman Tamba,lukmantamba@hotmail.com,+62 (40) 443-8867,2021-11-25 21:48:55
96,Pangeran Sirait,pangeransirait@hotmail.com,+62 (767) 192-1774,2020-09-01 01:16:27
97,Adiarja Wijaya,adiarjawijaya@gmail.com,+62-254-070-4119,2020-11-27 23:57:14
98,Tirtayasa Anggriawan,tirtayasaanggriawan@hotmail.com,+62-0694-624-9246,2021-12-09 10:24:03
99,Jatmiko Wibisono,jatmikowibisono@gmail.com,+62 (847) 075-8692,2022-10-03 09:13:59
100,Zalindra Yulianti,zalindrayulianti@yahoo.com,+62-789-871-4008,2022-01-18 05:10:26
101,Laila Wacana,lailawacana@gmail.com,(099) 955 3489,2021-01-19 14:05:51
102,Shania Nasyidah,shanianasyidah@gmail.com,+62 (86) 891 1094,2020-11-26 02:03:12
103,Lintang Hasanah,lintanghasanah@gmail.com,+62-519-284-7817,2021-07-30 07:35:34
104,Laswi Thamrin,laswithamrin@yahoo.com,+62-48-476-3739,2023-02-05 05:05:53
105,Johan Marbun,johanmarbun@gmail.com,(0527) 564-9859,2021-07-19 21:47:13
106,Maimunah Kusumo,maimunahkusumo@gmail.com,(0060) 063-4382,2020-05-09 19:42:26
107,Bakiman Lailasari,bakimanlailasari@yahoo.com,(057) 706-0420,2021-08-11 18:51:32
108,Ifa Kurniawan,ifakurniawan@hotmail.com,+62 (485) 776 2357,2020-03-20 13:02:32
109,Puji Puspasari,pujipuspasari@yahoo.com,085 858 4103,2023-04-07 07:13:10
110,Dinda Wulandari,dindawulandari@yahoo.com,+62 (0526) 573-8895,2020-05-02 20:28:32
111,Galih Aryani,galiharyani@gmail.com,+62 (266) 433 2177,2021-08-28 20:07:40
112,Adikara Januar,adikarajanuar@yahoo.com,(072) 361-1867,2021-06-17 15:48:09
113,Bakijan Januar,bakijanjanuar@gmail.com,+62 (018) 947 7894,2020-03-22 11:43:30
114,Jamal Sitorus,jamalsitorus@yahoo.com,(0380) 780 4144,2020-02-27 05:00:27
115,Raharja Yuniar,raharjayuniar@gmail.com,+62-61-508-3304,2023-02-28 10:12:18
116,Setya Wahyudin,setyawahyudin@yahoo.com,(0113) 865 5190,2022-12-01 22:25:42
117,Jais Widiastuti,jaiswidiastuti@yahoo.com,+62 (38) 447-8564,2020-06-11 21:58:12
118,Sabrina Tarihoran,sabrinatarihoran@hotmail.com,+62 (03) 940 2477,2021-08-18 07:05:35
119,Gilda Winarsih,gildawinarsih@gmail.com,+62-764-696-4763,2021-06-03 15:58:04
120,Balangga Waskita,balanggawaskita@yahoo.com,+62 (57) 432 7727,2020-07-01 09:54:47
121,Keisha Anggriawan,keishaanggriawan@gmail.com,0828836460,2022-01-05 15:56:10
122,Dodo Hastuti,dodohastuti@gmail.com,+62-084-957-9259,2023-04-15 23:07:20
123,Ihsan Situmorang,ihsansitumorang@yahoo.com,+62-085-386-8225,2022-04-25 11:21:03
124,Reza Hasanah,rezahasanah@gmail.com,+62-87-114-9224,2021-01-10 03:27:20
125,Digdaya Nasyidah,digdayanasyidah@gmail.com,+62 (028) 808-2729,2021-09-26 12:50:06
126,Dirja Prasetyo,dirjaprasetyo@yahoo.com,(085) 914-1036,2021-11-12 20:56:17
127,Karman Wijaya,karmanwijaya@hotmail.com,081 232 3434,2022-07-21 15:22:49
128,Caraka Astuti,carakaastuti@hotmail.com,(053) 718 2915,2022-04-01 01:42:02
129,Daliman Adriansyah,dalimanadriansyah@gmail.com,(076) 379-2862,2021-03-18 22:38:05
130,Edward Hartati,edwardhartati@gmail.com,+62 (941) 574-9873,2022-12-27 04:04:51
131,Azalea Yulianti,azaleayulianti@gmail.com,(0394) 820 6321,2022-06-25 04:40:23
132,Kalim Damanik,kalimdamanik@hotmail.com,080 721 5120,2023-04-09 04:46:21
133,Atmaja Situmorang,atmajasitumorang@gmail.com,+62 (85) 302 5455,2023-03-07 18:38:31
134,Kasim Sinaga,kasimsinaga@yahoo.com,+62-094-223-7423,2023-01-28 15:54:08
135,Kanda Wahyudin,kandawahyudin@hotmail.com,+62 (095) 275-3933,2022-07-12 10:14:19
136,Ami Salahudin,amisalahudin@hotmail.com,+62-364-140-2352,2021-12-04 16:21:21
137,Farah Mardhiyah,farahmardhiyah@hotmail.com,+62 (006) 824 6398,2022-12-29 14:13:09
138,Taswir Pangestu,taswirpangestu@yahoo.com,(0995) 918 2775,2021-03-06 15:39:42
139,Kamila Aryani,kamilaaryani@yahoo.com,+62 (024) 253-4343,2021-05-02 13:46:38
140,Emin Namaga,eminnamaga@yahoo.com,(0500) 831-7298,2021-07-11 03:37:18
141,Wani Pradana,wanipradana@yahoo.com,+62-52-310-1860,2022-10-02 18:55:52
142,Hamzah Nashiruddin,hamzahnashiruddin@gmail.com,+62 (0134) 533 4483,2023-03-10 07:13:03
143,Yessi Widodo,yessiwidodo@hotmail.com,082 280 4879,2020-03-16 23:24:34
144,Parman Irawan,parmanirawan@yahoo.com,081 438 2314,2022-11-29 00:20:39
145,Radit Sirait,raditsirait@hotmail.com,+62 (09) 485-7141,2020-04-25 10:20:45
146,Jati Laksmiwati,jatilaksmiwati@yahoo.com,+62 (92) 258 2054,2021-06-19 17:49:15
147,Irwan Novitasari,irwannovitasari@yahoo.com,+62 (026) 462 3618,2021-08-11 20:47:10
148,Darman Mandala,darmanmandala@gmail.com,+62 (93) 699-2131,2020-08-14 19:14:37
149,Ibrani Jailani,ibranijailani@hotmail.com,089 442 3029,2020-10-01 12:20:05
150,Maryadi Hidayanto,maryadihidayanto@gmail.com,+62 (24) 236-5245,2022-09-21 14:38:03
151,Zahra Kusumo,zahrakusumo@gmail.com,+62 (412) 084 2156,2020-03-26 04:03:44
152,Tami Namaga,taminamaga@hotmail.com,0806484522,2021-01-27 06:24:36
153,Usyi Budiman,usyibudiman@hotmail.com,(067) 073-0258,2022-05-13 22:48:26
154,Harsaya Santoso,harsayasantoso@gmail.com,0848596121,2023-03-31 03:33:46
155,Gatra Purwanti,gatrapurwanti@gmail.com,+62 (617) 934-9340,2021-03-10 01:19:47
156,Jinawi Thamrin,jinawithamrin@hotmail.com,(088) 165-8220,2020-06-23 00:15:09
157,Rosman Laksmiwati,rosmanlaksmiwati@yahoo.com,(0812) 247-7196,2020-02-25 07:15:48
158,Darmana Marpaung,darmanamarpaung@hotmail.com,+62 (03) 000 8511,2023-04-08 01:17:24
159,Jayeng Wasita,jayengwasita@hotmail.com,(0957) 154-6718,2022-06-16 20:40:30
160,Mitra Handayani,mitrahandayani@yahoo.com,+62 (036) 481-3410,2020-12-12 12:25:23
161,Embuh Situmorang,embuhsitumorang@hotmail.com,+62 (047) 537-4804,2020-06-23 10:57:44
162,Rangga Simanjuntak,ranggasimanjuntak@hotmail.com,089 687 9644,2022-03-05 17:39:21
163,Warsa Farida,warsafarida@yahoo.com,+62-056-627-6408,2021-06-29 07:14:46
164,Kasusra Hidayanto,kasusrahidayanto@hotmail.com,+62 (0612) 146 8142,2020-12-07 16:43:18
165,Rini Andriani,riniandriani@hotmail.com,+62 (0056) 925 9512,2023-03-21 04:19:50
166,Hadi Hardiansyah,hadihardiansyah@hotmail.com,0883475808,2020-06-29 12:17:52
167,Putri Wijaya,putriwijaya@gmail.com,+62-234-516-9466,2020-03-11 13:56:04
168,Niyaga Wulandari,niyagawulandari@gmail.com,+62 (004) 019 7329,2023-02-19 09:02:45
169,Labuh Kusmawati,labuhkusmawati@yahoo.com,(0896) 272 0073,2021-10-11 05:36:43
170,Melinda Hutagalung,melindahutagalung@yahoo.com,+62-455-706-8678,2021-04-18 02:56:08
171,Endra Siregar,endrasiregar@gmail.com,(0736) 557 5725,2021-11-19 14:27:07
172,Salsabila Suwarno,salsabilasuwarno@hotmail.com,+62-033-124-1925,2021-07-10 22:42:13
173,Reza Wijaya,rezawijaya@gmail.com,+62 (0212) 795 3542,2021-01-14 13:50:02
174,Nurul Riyanti,nurulriyanti@yahoo.com,+62-00-665-7140,2020-06-25 15:06:43
175,Leo Putra,leoputra@yahoo.com,+62-077-777-1602,2020-05-05 09:29:02
176,Wardi Widiastuti,wardiwidiastuti@hotmail.com,+62 (0183) 782 1141,2022-06-12 19:15:35
177,Dinda Nurdiyanti,dindanurdiyanti@gmail.com,(0483) 849-4040,2022-09-09 10:57:10
178,Emil Nashiruddin,emilnashiruddin@hotmail.com,+62-64-225-3741,2020-04-01 17:11:19
179,Fitria Wahyuni,fitriawahyuni@gmail.com,+62 (51) 795-9019,2022-02-17 03:29:18
180,Rachel Tarihoran,racheltarihoran@hotmail.com,+62 (0775) 945 0183,2022-03-31 12:18:15
181,Harsaya Prasasta,harsayaprasasta@yahoo.com,+62 (0775) 580-1160,2021-06-06 02:03:38
182,Rahmat Hardiansyah,rahmathardiansyah@hotmail.com,+62 (811) 901 9840,2022-11-30 12:53:13
183,Adhiarja Winarno,adhiarjawinarno@hotmail.com,(002) 900 6632,2022-09-21 05:33:34
184,Mulyanto Putra,mulyantoputra@gmail.com,(0350) 979 4363,2023-01-12 02:49:00
185,Vero Mulyani,veromulyani@hotmail.com,(086) 577 6274,2020-05-30 19:25:06
186,Nasab Setiawan,nasabsetiawan@gmail.com,+62 (347) 510 6114,2023-03-13 03:59:34
187,Jagaraga Yulianti,jagaragayulianti@yahoo.com,(028) 918 7831,2021-06-13 05:50:03
188,Prabowo Melani,prabowomelani@hotmail.com,(063) 651-1512,2021-11-29 08:26:19
189,Dartono Pratiwi,dartonopratiwi@gmail.com,+62-547-063-4369,2020-01-06 05:58:59
190,Marsudi Uyainah,marsudiuyainah@gmail.com,+62-251-342-5637,2021-07-09 04:17:27
191,Daniswara Wijaya,daniswarawijaya@hotmail.com,+62 (035) 324 0659,2022-12-28 14:05:46
192,Heryanto Rajata,heryantorajata@hotmail.com,(076) 888 3644,2022-01-03 19:34:59
193,Ajeng Utama,ajengutama@yahoo.com,(0356) 344 0473,2021-11-19 22:20:59
194,Karen Wahyudin,karenwahyudin@gmail.com,+62 (52) 132-5356,2022-02-14 18:57:12
195,Gamblang Namaga,gamblangnamaga@yahoo.com,(0215) 888-5962,2022-11-06 04:26:19
196,Candra Maryadi,candramaryadi@yahoo.com,+62 (022) 981 5693,2020-10-28 04:18:08
197,Ghaliyati Prakasa,ghaliyatiprakasa@gmail.com,+62 (049) 237 0970,2020-01-27 17:35:38
198,Kasiran Tampubolon,kasirantampubolon@gmail.com,+62 (0811) 080-5901,2020-01-26 13:36:01
199,Rosman Astuti,rosmanastuti@hotmail.com,083 527 7759,2021-03-13 20:02:43
200,Raisa Usada,raisausada@yahoo.com,+62 (616) 313 9638,2021-03-20 04:26:56
