seller_address_id,seller_id,city_id,address,zip_code
101,128,3171,"Jl. Pasteur No. 105
Padangpanjang",78618
102,88,6471,"Gang Gedebage Selatan No. 3
Bengkulu",87901
103,62,1371,"Gang PHH. Mustofa No. 746
Pekanbaru",18596
104,102,7371,"Gang Sukajadi No. 4
Tarakan",20896
105,134,3173,"Jl. Rawamangun No. 121
Sorong",88011
106,47,1371,"Gang Jayawijaya No. 16
Pasuruan",72725
107,56,3573,"Gang Suryakencana No. 835
Sawahlunto",77184
108,137,3175,"Jl. Kutisari Selatan No. 0
Pematangsiantar",47928
109,71,3573,"Gg. Siliwangi No. 2
Batam",44253
110,159,6472,"Gang Indragiri No. 1
Sabang",81513
111,81,3175,"Gg. Raya Setiabudhi No. 432
Sabang",37404
112,83,6472,"Jl. Moch. Ramdan No. 960
Jayapura",01678
113,185,3273,"Gang Gedebage Selatan No. 180
Pematangsiantar",09540
114,191,3578,"Gg. Sentot Alibasa No. 8
Bandar Lampung",13020
115,113,1371,"Gang Tubagus Ismail No. 47
Banda Aceh",96564
116,10,5171,"Gang Ronggowarsito No. 14
Kota Administrasi Jakarta Barat",08585
117,55,7371,"Jalan PHH. Mustofa No. 3
Kotamobagu",32520
118,102,1371,"Jalan Peta No. 51
Kediri",05524
119,191,3174,"Jalan Gegerkalong Hilir No. 9
Binjai",41584
120,24,6472,"Jalan M.H Thamrin No. 79
Bukittinggi",55656
121,134,1371,"Gg. Suniaraja No. 61
Jambi",96093
122,25,5171,"Gang H.J Maemunah No. 43
Tebingtinggi",07377
123,1,3573,"Gang Wonoayu No. 38
Cirebon",83306
124,186,1371,"Jalan Raya Ujungberung No. 331
Tidore Kepulauan",03831
125,76,6472,"Gg. Rawamangun No. 68
Pagaralam",73233
126,139,5171,"Jalan Dipatiukur No. 45
Tangerang Selatan",34507
127,188,3174,"Gang Wonoayu No. 138
Medan",68535
128,89,1371,"Gang Ir. H. Djuanda No. 32
Medan",50472
129,22,6471,"Jl. R.E Martadinata No. 678
Pagaralam",76045
130,161,3175,"Gang Rawamangun No. 84
Dumai",30003
131,46,5171,"Jl. Sadang Serang No. 17
Bau-Bau",84631
132,79,6471,"Gg. Cihampelas No. 2
Kota Administrasi Jakarta Pusat",60878
133,38,3174,"Jalan K.H. Wahid Hasyim No. 8
Sawahlunto",65461
134,161,1375,"Jalan Tebet Barat Dalam No. 521
Lhokseumawe",27306
135,130,3173,"Gg. Sentot Alibasa No. 08
Langsa",44788
136,197,6472,"Jl. Siliwangi No. 463
Tual",40562
137,96,3573,"Jalan Asia Afrika No. 0
Padangpanjang",72839
138,103,3273,"Gang Pelajar Pejuang No. 2
Malang",11304
139,53,6471,"Gg. Asia Afrika No. 3
Batu",36565
140,104,3573,"Jalan Dipenogoro No. 7
Sungai Penuh",16758
141,172,3578,"Jl. Setiabudhi No. 29
Semarang",45019
142,51,3173,"Jl. Otto Iskandardinata No. 6
Medan",85514
143,50,6471,"Jalan Kutisari Selatan No. 92
Tangerang",40945
144,67,6471,"Gang Setiabudhi No. 483
Sabang",76424
145,24,6472,"Gang Peta No. 2
Surakarta",01288
146,69,5171,"Jl. Rumah Sakit No. 86
Sibolga",90248
147,166,3578,"Jl. R.E Martadinata No. 8
Binjai",71221
148,2,3174,"Gang Erlangga No. 780
Bogor",25534
149,144,1371,"Jl. Sentot Alibasa No. 211
Sungai Penuh",76287
150,101,6471,"Gg. Cihampelas No. 186
Subulussalam",29041
151,18,3273,"Gang BKR No. 8
Bima",42103
152,34,5171,"Jalan M.H Thamrin No. 579
Bandar Lampung",51237
153,58,3175,"Jl. Merdeka No. 948
Sorong",48543
154,36,3172,"Jalan KH Amin Jasuta No. 817
Salatiga",38373
155,31,3573,"Gg. Raya Ujungberung No. 1
Ternate",40094
156,167,3173,"Jl. Yos Sudarso No. 909
Lubuklinggau",16347
157,96,3174,"Gang Suniaraja No. 28
Bengkulu",78320
158,147,6472,"Jalan Ciumbuleuit No. 23
Bogor",34578
159,79,3172,"Jalan Dipatiukur No. 4
Banda Aceh",08807
160,78,7371,"Jl. Ciwastra No. 5
Payakumbuh",63725
161,191,3175,"Jl. Joyoboyo No. 44
Banjar",08279
162,199,6471,"Jalan Waringin No. 7
Bukittinggi",88876
163,108,6472,"Jl. Erlangga No. 741
Bitung",62119
164,49,3175,"Gang K.H. Wahid Hasyim No. 88
Bontang",33398
165,86,3573,"Gg. Abdul Muis No. 70
Palembang",63341
166,181,3578,"Jl. Waringin No. 87
Pasuruan",07995
167,50,3471,"Gang Raya Setiabudhi No. 8
Tanjungbalai",30344
168,2,6472,"Jalan Rajiman No. 242
Ternate",18165
169,182,6471,"Gg. Cikutra Barat No. 2
Bontang",03515
170,140,1371,"Jalan Raya Setiabudhi No. 1
Sungai Penuh",59705
171,159,1375,"Gang Erlangga No. 713
Cilegon",35427
172,56,3171,"Jl. Laswi No. 130
Pangkalpinang",80502
173,75,3471,"Gg. Yos Sudarso No. 81
Madiun",83487
174,175,5171,"Gg. Bangka Raya No. 10
Bima",20066
175,141,7371,"Gg. Moch. Ramdan No. 625
Surabaya",20644
176,188,3171,"Jl. Raya Setiabudhi No. 85
Kota Administrasi Jakarta Pusat",61787
177,53,3578,"Gang Soekarno Hatta No. 6
Palopo",23625
178,76,7371,"Gg. Jakarta No. 53
Batu",16979
179,197,3175,"Gg. Surapati No. 494
Tegal",81739
180,156,3174,"Gang Sadang Serang No. 276
Tanjungpinang",89313
181,141,5171,"Jl. Ir. H. Djuanda No. 544
Cirebon",62005
182,88,6472,"Jl. Asia Afrika No. 84
Manado",48523
183,122,3171,"Jl. Ir. H. Djuanda No. 9
Pariaman",14350
184,67,3172,"Jalan Rajawali Barat No. 3
Cirebon",86292
185,133,3172,"Jl. Raya Ujungberung No. 491
Lubuklinggau",33561
186,109,3173,"Jalan Medokan Ayu No. 494
Subulussalam",75593
187,193,3172,"Gg. Gardujati No. 142
Tanjungbalai",69926
188,156,3273,"Jl. Tubagus Ismail No. 860
Tegal",98665
189,140,1371,"Gg. Suniaraja No. 5
Balikpapan",08543
190,157,3471,"Gg. Merdeka No. 02
Blitar",29459
191,2,3171,"Jl. Cempaka No. 9
Padang",68428
192,184,3578,"Gang Kutisari Selatan No. 4
Magelang",19359
193,58,1375,"Gang Jend. A. Yani No. 35
Tanjungpinang",85304
194,37,1371,"Gang Medokan Ayu No. 68
Sungai Penuh",04726
195,27,3175,"Gang Cikapayang No. 8
Subulussalam",02016
196,59,1371,"Gang Laswi No. 618
Mojokerto",92812
197,9,3172,"Jl. Erlangga No. 28
Depok",30930
198,181,3273,"Jl. Astana Anyar No. 184
Surabaya",95728
199,128,7371,"Jl. Ronggowarsito No. 86
Parepare",07415
200,133,6472,"Jl. Yos Sudarso No. 748
Kota Administrasi Jakarta Selatan",71316
